Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3242301,27/5/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5051,,,,,,,,,,,,,
3242299,27/5/2026,JAC Motors Nowra,HunterBuild,2519,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Hammerhead,I would like to wait for my preferred colour.,,No,,,,
3242271,27/5/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3781,,,,,,,,,,,,,
3241962,27/5/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3104,,,,,,,,,,,,,
3241936,27/5/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6164,,,,,,,,,,,,,
3241921,27/5/2026,JAC Motors Bendigo,Register Your Interest JAC Hunter,3551,,,,,,,,,,,,,
3241906,27/5/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2265,,,,,,,,,,,,,
3241751,27/5/2026,Sydney City JAC Motors,HunterBuild,2234,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,,,No,,,,
3241706,26/5/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3156,,,,,,,,,,,,,
3241676,26/5/2026,JAC Motors,Register Your Interest JAC Hunter,6415,,,,,,,,,,,,,
3241664,26/5/2026,JAC Motors Bendigo,Register Your Interest JAC Hunter,3555,,,,,,,,,,,,,
3241632,26/5/2026,JAC Motors,Register Your Interest JAC Hunter,3783,,,,,,,,,,,,,
3241594,26/5/2026,Cricks Highway JAC Motors,HunterBuild,4110,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,I would like to wait for my preferred colour.,,Yes,2011,Ford,Ford XR6,220000
3241548,26/5/2026,JAC Motors,Register Your Interest JAC Hunter,2517,,,,,,,,,,,,,
3241205,26/5/2026,JAC Motors,Register Your Interest JAC Hunter,1023,,,,,,,,,,,,,
3241185,25/5/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3136,,,,,,,,,,,,,
3241167,25/5/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4000,,,,,,,,,,,,,
3241166,25/5/2026,E.L.N. JAC Motors,HunterBuild,2325,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,Ochre,Front & Rear Diff Lock - $TBC,No,,,,
3241134,25/5/2026,JAC Motors Capalaba,Register Your Interest JAC Hunter,4179,,,,,,,,,,,,,
3241125,25/5/2026,Cricks Highway JAC Motors,HunterBuild,4110,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Ochre,I would like to wait for my preferred colour.,,Yes,2022,Gwm,Cannon,60000
3241075,25/5/2026,JAC Motors Werribee,Register Your Interest JAC Hunter,3029,,,,,,,,,,,,,
3240950,25/5/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4115,,,,,,,,,,,,,
3240885,25/5/2026,JAC Motors Liverpool,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Stratus,Front & Rear Diff Lock - Already included,No,,,,
3240805,25/5/2026,Sydney City JAC Motors,HunterBuild,2000,JAC,Hunter,NSW,Personal,Hunter X 4x4,Stratus,Stratus,Front & Rear Diff Lock - Already included,No,,,,
3240597,25/5/2026,JAC Motors Cairns,HunterBuild,4879,JAC,Hunter,QLD,Personal,Hunter X 4x4,Hammerhead,Karak,Front & Rear Diff Lock - Already included,Yes,2022,Mitsubishi,Outlander,90000
3240547,25/5/2026,Coral Coast JAC Motors,HunterBuild,4740,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Ochre,,,Yes,,,,
3240544,25/5/2026,JAC Motors,Register Your Interest JAC Hunter,3434,,,,,,,,,,,,,
3240508,24/5/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5052,,,,,,,,,,,,,
3240469,24/5/2026,JAC Motors,Register Your Interest JAC Hunter,5434,,,,,,,,,,,,,
3240465,24/5/2026,JAC Motors,Register Your Interest JAC Hunter,3337,,,,,,,,,,,,,
3240375,24/5/2026,JAC Motors Hampstead Gardens,HunterBuild,5052,JAC,Hunter,SA,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2017,Mitsubishi,Pajero Sport,68000
3240351,24/5/2026,JAC Motors Penrith,Register Your Interest JAC Hunter,2774,,,,,,,,,,,,,
3240336,24/5/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5061,,,,,,,,,,,,,
3240312,24/5/2026,JAC Motors Sunshine Coast - Nambour,Register Your Interest JAC Hunter,4562,,,,,,,,,,,,,
3240216,24/5/2026,JAC Motors Penrith,HunterBuild,2745,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,Karak,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3240191,24/5/2026,JAC Motors Hampstead Gardens,HunterBuild,5024,JAC,Hunter,SA,Personal,Hunter Pro 4x4,Stratus,Hammerhead,,Yes,2015,Toyota,Land Cruiser Prado vx,119000
